from_station,from_station_lat,from_station_lng
Marszałkowska - Al. Jerozolimskie,52.229286,21.011579
al. Niepodległości - Batorego,52.210833,21.007851
Nestle House,52.183992,21.00984
Świderska - Świętosławskiego,52.316765,20.95171
Jagiellońska - Plac Hallera,52.259066,21.026144
Mariensztat,52.246561,21.017476
Ostrobramska - Motorowa,52.235377,21.080967
al. Jana Pawła II - Grzybowska,52.235706,20.996703
Kasprzaka - Skierniewicka,52.228522,20.969639
Wolska - Hubalczyków ,52.223197,20.929879
Pętla Witolin,52.236522,21.113097
Bukowiecka - Zamkowa,52.27347,21.07698
Metro Stadion Narodowy,52.247314,21.042731
Centrum Nauki Kopernik,52.241266,21.028187
Plac Zawiszy,52.225335,20.989825
Dickensa - Geodetów,52.206101,20.97033
Wybrzeże Helskie - ZOO,52.261437,21.015574
Andersa - Muranowska,52.25416,20.998085
Dworzec Wschodni - Kijowska,52.252745,21.051033
Puławska – Karmazynowa ,52.111877,21.01887
Pętla Stare Bemowo,52.258245,20.898614
Warsaw UNIT,52.229887,20.98569
Sobieskiego - Mangalia,52.188224,21.049931
Skarbka z Gór - Berensona,52.324196,21.056547
Pętla Gocławek,52.237559,21.120087
Jagiellońska - Okrzei,52.251577,21.035361
Stawki - Dubois,52.253153,20.991552
Rembielińska - Wyszogrodzka,52.288592,21.031009
Wybrzeże Gdyńskie - KS Spójnia,52.267875,21.002067
EkoPark - Warszawska,52.200323,20.874611
Radzymińska - Wiosenna,52.255882,21.049793
Dwernickiego - Siennicka,52.2504,21.077598
Bielany-Ratusz,52.276838,20.948216
Jagiellońska - Ratuszowa,52.256355,21.029538
Ostrobramska - Zamieniecka,52.23483,21.09975
Miodowa,52.246541,21.011265
Obrońców Tobruku - Pieniążka,52.25759,20.932337
Żwirki i Wigury - Racławicka,52.198137,20.983372
Wysockiego - Poborzańska,52.287807,21.021383
Marymoncka - Dewajtis,52.290173,20.95037
Kochanowskiego - Galla Anonima,52.269484,20.942087
Plac Zbawiciela,52.220223,21.0179
Metro Targówek Mieszkaniowy ,52.269795,21.051284
Namysłowska - Darwina,52.265499,21.031197
Rondo Mościckiego,52.23393,21.126986
Marymoncka - Przy Agorze,52.295106,20.944576
Szczęśliwicka - APS,52.217218,20.971361
Emilii Plater - Świętokrzyska,52.23373,21.002811
Wołoska - Woronicza ,52.18937,21.00247
Emilii Plater - Wspólna,52.225892,21.006761
Dzielna - Bellottiego,52.242888,20.980379
al. Jana Pawła II - Nowolipki,52.244577,20.99177
PKP Ursus Północny ,52.206211,20.887875
Plac Inwalidów ,52.264502,20.9896
Plac Grunwaldzki,52.262405,20.980255
Etiudy Rewolucyjnej - Miączyńska,52.193813,20.991443
The Park Warsaw,52.189299,20.945091
Wołoska - Odyńca,52.195747,21.002554
OSiR Żoliborz,52.277729,20.985734
al. Wilanowska - Przyczółkowa,52.165588,21.083933
Uniwersytet - SWPS ,52.247531,21.066431
PKP Włochy,52.205644,20.915914
Kasprzaka - Karolkowa,52.22898,20.97843
Ursus Ratusz,52.200496,20.893806
Radzymińska - Trocka,52.272602,21.06321
Metro Stare Bielany,52.281627,20.949887
Powstańców Śląskich - Radiowa,52.252626,20.913638
Meissnera - Fieldorfa,52.222228,21.09076
Dworzec Zachodni,52.218454,20.966339
al. Prymasa Tysiąclecia - Obozowa,52.247585,20.9568
Stalowa - Czynszowa,52.260532,21.04172
al. Jerozolimskie - Popularna,52.20115,20.935342
Stryjeńskich - Wąwozowa,52.131433,21.056156
Platan Park,52.1544,21.0064
Pileckiego - Alternatywy,52.14272,21.038362
Wąwozowa - Rosoła,52.133207,21.074828
Korkowa,52.23828,21.147235
al. Armii Ludowej - al. Niepodległości,52.216751,21.004732
Redutowa - Pustola,52.233682,20.940959
Ciszewskiego - Pileckiego,52.149506,21.033253
Sierakowskiego - Kłopotowskiego,52.250633,21.031117
Kleszczowa – Krańcowa,52.196958,20.923586
Marywilska - P&R Żerań,52.315244,21.000138
Sanocka - Pruszkowska,52.201765,20.98209
Rosoła - Ciszewskiego - SGGW,52.157289,21.044008
Pętla Kawęczyńska - Bazylika,52.258351,21.058534
al. Jerozolimskie - Krucza,52.231056,21.016738
Plac Politechniki,52.219916,21.011682
PKP Rembertów - Cyrulików,52.257579,21.157396
Wolska - Płocka,52.233341,20.965197
al. Niepodległości - Nowowiejska,52.220676,21.004555
Puławska – Pelikanów,52.12293,21.01854
Żwirki i Wigury - Księcia Trojdena,52.205197,20.985098
Sosnkowskiego - OSiR Ursus,52.186994,20.890648
Kopińska - Białobrzeska,52.217863,20.977596
Myśliborska - al. Kuklińskiego,52.313298,20.965532
Skoroszewska - Prystora,52.190638,20.899944
Waszyngtona - Kinowa,52.242281,21.07116
Metro Ulrychów,52.240163,20.931161
Smolna - PKP Powiśle,52.23324,21.026118
Rondo de Gaulle'a,52.23144,21.021304
Gościniec,52.222881,21.223207
Matejki - Wiejska,52.22492,21.026885
Smocza - Miła,52.248553,20.983458
Międzynarodowa - Zwycięzców,52.232953,21.067016
Powstańców Śląskich - Połczyńska,52.220591,20.917589
Puławska - Idzikowskiego,52.18648,21.02538
Puławska - Kajakowa,52.129592,21.018367
Warszawska - Hermana,52.194985,20.862216
Rondo Śmigielskiego,52.247163,21.189258
PKP Ursus - Niedźwiadek,52.191624,20.869008
Giserska - Habicha,52.202161,20.883169
Eurocentrum,52.220709,20.972267
Orlich Gniazd,52.248845,20.920259
Plac Małachowskiego,52.239662,21.011951
PKP Rembertów - Marsa,52.256711,21.15805
Aleja Wilanowska - Sobieskiego,52.170234,21.068462
Włodarzewska - Maszynowa,52.202733,20.950999
Krakowskie Przedmieście - Traugutta,52.239374,21.016657
Rembrandta – Miedza ,52.280625,21.049645
Ratuszowa - ZOO,52.253851,21.02328
Kościelna - Piesza,52.254116,21.009353
Biblioteka Narodowa,52.212671,21.003437
Lindleya - szpital,52.224054,20.997567
Centrum Zdrowia Dziecka,52.207438,21.191126
PKP Gołąbki ,52.208074,20.86491
OSiR Wawer,52.219474,21.162114
Paderewskiego - Czwartaków,52.271148,21.149855
al. Komandosów,52.253001,21.168017
Rondo Bułhaka,52.246276,21.223424
Sobieskiego - Nałęczowska,52.175294,21.063173
PKP Wawer,52.223045,21.149132
Rondo Fieldorfa,52.264811,21.169537
Bysławska,52.159742,21.205322
Jana Kazimierza - Gizów,52.224946,20.945553
AMB - Riera Blanca Nord,41.371631,2.127232
AMB - METRO La Pau,41.423345,2.205672
AMB - Diagonal I,41.386602,2.116364
AMB - Diagonal II,41.386799,2.116236
AMB - Campus Diagonal - Besòs,41.413419,2.22175
AMB - METRO Baró de Viver,41.448479,2.199556
