to_station,to_station_lat,to_station_lng
Grochowska - Mińska,52.247136,21.056658
Park Rozwoju,52.186191,20.988205
Targowa - Kijowska,52.249865,21.042911
al. Zieleniecka - Teatr Powszechny,52.247231,21.047646
Ochota-Ratusz,52.222216,20.986629
Wileńska - Rzeszotarskiej,52.257958,21.03998
Pętla Sadyba,52.18155,21.068532
Metro Służew,52.173313,21.025731
Wysockiego - Matki Teresy z Kalkuty,52.281231,21.025853
Stalowa - Czynszowa,52.260532,21.04172
Metro Szwedzka,52.263298,21.046161
al. Jana Pawła II - Anielewicza,52.247017,20.989516
Plac Krasińskich,52.248862,21.005578
Bora-Komorowskiego - Fieldorfa 'Nila',52.226016,21.093295
Kochanowskiego - Galla Anonima,52.269484,20.942087
Targowa - Ząbkowska,52.252088,21.038137
Radzymińska - Wiosenna,52.255882,21.049793
Powązkowska - Burakowska,52.253594,20.979874
Dworzec Zachodni,52.218454,20.966339
Francuska - Walecznych,52.234745,21.053651
Wólczyńska - Conrada,52.281063,20.923405
Koneser,52.25602,21.046219
Smocza - Miła,52.248553,20.983458
Smocza - Anielewicza,52.246149,20.985462
Marszałkowska - Królewska,52.238549,21.006889
PKP Włochy,52.205644,20.915914
PKP Ursus Północny ,52.206211,20.887875
Rembielińska - Wyszogrodzka,52.288592,21.031009
Wybrzeże Gdyńskie - KS Spójnia,52.267875,21.002067
Żelazna - Grzybowska,52.234495,20.990512
Żwirki i Wigury - Księcia Trojdena,52.205197,20.985098
Okopowa - Anielewicza,52.244114,20.977868
Miodowa,52.246541,21.011265
Modlińska - Żerańska,52.303198,20.989167
Jagiellońska - Plac Hallera,52.259066,21.026144
Meissnera - Fieldorfa,52.222228,21.09076
Factory Annopol,52.298441,21.024163
al. Jana Pawła II - Plac Mirowski,52.238024,20.995973
Pętla Witolin,52.236522,21.113097
Metro Stadion Narodowy,52.247314,21.042731
Metro Centrum,52.229939,21.010973
Żwirki i Wigury - Racławicka,52.198137,20.983372
Darwina - Nusbauma-Hilarowicza,52.26421,21.02618
Ostrobramska - Zamieniecka,52.23483,21.09975
Jagiellońska - Ratuszowa,52.256355,21.029538
Radzymińska - Łomżyńska,52.259519,21.052616
Puławska – Karmazynowa ,52.111877,21.01887
Noakowskiego - Koszykowa,52.222683,21.00811
Wąwozowa - Rosoła,52.133207,21.074828
Skarbka z Gór - Berensona,52.324196,21.056547
Metro Trocka,52.275799,21.056083
Pętla Gocławek,52.237559,21.120087
Plac Politechniki,52.219916,21.011682
EkoPark - Warszawska,52.200323,20.874611
Raszyńska - Wawelska,52.216641,20.987948
Pętla Kawęczyńska - Bazylika,52.258351,21.058534
11 Listopada - Ratuszowa,52.261449,21.037614
Kasprzaka - Skierniewicka,52.228522,20.969639
al. Armii Ludowej - al. Niepodległości,52.216751,21.004732
